gene,coef_covid
PXT1,-0.058008866298562216
MAP1A,-0.05785541199658305
GIGYF1,0.05779943578608316
GNAO1,0.05714308721754126
DHX8,0.05706865544051152
CCDC125,-0.05679199768596458
PDE4B,0.05674423420036918
PDE6A,-0.05667910112094403
TTC7B,0.056596592072918075
EDNRA,-0.056472435328792904
TNFRSF10C,0.056449880390712304
OSGIN1,0.05593564080196794
BAIAP2L1,0.05592674430355714
P2RY12,0.05565044200201189
CLEC18C,0.055564832565120466
L2HGDH,-0.05528300198637522
ESRP1,0.055147160407478836
ZNF251,-0.05513197363609449
RNA5-8SP6,0.05495873733319602
ATP8B1,0.05493814949331233
PIRT,-0.05483630448835425
CDC42EP2,-0.05480550919779381
TRGV2,0.05464919851714326
LGI2,-0.05404516872359649
RN7SL146P,0.05397447591579232
NCCRP1,0.05397447591579232
LZIC,-0.05395301715104951
ACKR3,0.05387863292491289
DIRC3,-0.053494994151695084
IKZF2,-0.05307874583235876
HBA1,0.05299491227649489
ATP9A,0.052885396612246505
ZNF215,-0.05266611270408363
NSMCE2,0.051999502988597526
MROH6,-0.05199101745760134
PIGR,-0.051751999695054035
LINC01094,-0.05165709111884549
DNAH2,0.05144791689130913
HLA-DQA1,-0.05139931872554234
TUBG2,-0.05115818681351794
CLSPN,0.05095957376289594
PRPF40B,0.05075906721693378
WDR87,0.05043953099607307
GBP3,0.050404670515611816
LDB2,-0.05039304931769887
PRG4,-0.05037992097566189
PIK3R3,-0.05035975115399231
GP9,0.049594249191075225
CDR2L,0.049171012309850014
EPAS1,0.04907915652821928
PI3,0.04898143377977887
SUMO4,-0.04868185903880322
CCNF,0.04839718720067649
P2RX1,0.048385673081605615
PNPLA1,-0.04835413267414055
MS4A1,0.04830890457627152
SDR39U1,0.04824089646490134
NAV2,0.04814230268491656
RN7SL230P,0.048116859649587604
TDRP,-0.04808132070082808
VWA2,-0.04808132070082808
MEG3,-0.048034453804966265
MAP1B,0.04782695635869464
PPIAL4G,-0.047820671095151125
RBAK-RBAKDN,0.047807319296103996
KCNJ15,0.047378278565269175
TAL1,0.04709012734313801
CBY1,0.04681554482644345
PROK2,-0.04666200649432518
PPFIBP1,0.04661513779995239
CLDN5,-0.04617530994739081
HTR3E-AS1,-0.04616044646463074
AURKA,0.045921145005522385
