cell_id,sample_id,manuscript_id,condition,n_counts,n_genes,pct_mt,length,leiden_geneformer
c000317,S557,C3,COVID-19,3953,1854,4.983556792309638,1706,5
c000318,S557,C3,COVID-19,4849,1856,4.866982883068674,1706,5
c000319,S557,C3,COVID-19,4028,1868,5.486593843098312,1705,5
c000320,S558,C4,COVID-19,4212,1843,6.956315289648623,1704,5
c000321,S557,C3,COVID-19,4658,1842,4.55130957492486,1703,5
c000322,HIP043,H4,Healthy,4277,1860,7.341594575637129,1701,5
c000323,S557,C3,COVID-19,4320,1834,8.425925925925926,1701,5
c000324,HIP043,H4,Healthy,4104,1859,6.846978557504873,1699,5
c000325,S557,C3,COVID-19,4321,1842,3.818560518398519,1699,5
c000326,S557,C3,COVID-19,4003,1859,4.171871096677492,1699,5
c000327,HIP043,H4,Healthy,3838,1877,4.533611255862429,1698,5
c000328,S557,C3,COVID-19,4289,1841,7.041268360923292,1698,5
c000329,S557,C3,COVID-19,3981,1860,4.220045214770158,1698,5
c000330,HIP043,H4,Healthy,4206,1844,8.67807893485497,1697,5
c000331,S557,C3,COVID-19,4452,1858,4.3126684636118595,1697,5
c000332,S558,C4,COVID-19,3750,1848,3.2533333333333334,1697,5
c000333,S557,C3,COVID-19,4313,1826,6.6311152330164616,1696,5
c000334,S557,C3,COVID-19,3895,1851,4.826700898587934,1696,5
c000335,S557,C3,COVID-19,4671,1849,6.251338043245558,1695,5
c000336,S558,C4,COVID-19,3883,1841,5.485449394797837,1695,5
c000337,HIP043,H4,Healthy,4198,1847,4.478323010957599,1694,5
c000338,S557,C3,COVID-19,5160,1837,8.15891472868217,1694,5
c000339,S556,C2,COVID-19,4159,1838,5.289733108920413,1693,5
c000340,S557,C3,COVID-19,5438,1845,8.0728208900331,1693,5
c000341,S556,C2,COVID-19,4424,1830,5.492766726943942,1692,5
c000342,S557,C3,COVID-19,4960,1844,4.536290322580645,1690,5
c000343,S557,C3,COVID-19,3976,1836,3.319919517102616,1688,5
c000344,S557,C3,COVID-19,4067,1839,4.376690435210229,1685,5
c000345,S558,C4,COVID-19,4186,1822,3.6550406115623506,1685,5
c000346,S557,C3,COVID-19,3897,1825,4.439312291506287,1684,5
c000347,S558,C4,COVID-19,4743,1821,4.659498207885305,1684,5
c000348,S557,C3,COVID-19,4971,1843,3.379601689800845,1683,5
c000349,HIP043,H4,Healthy,3919,1837,4.644041847410054,1682,5
c000350,S557,C3,COVID-19,4555,1812,6.805708013172338,1682,5
c000351,HIP043,H4,Healthy,3725,1838,3.6241610738255035,1681,5
c000352,S556,C2,COVID-19,5025,1837,7.940298507462686,1681,5
c000353,S557,C3,COVID-19,4185,1835,4.8267622461170845,1681,5
c000354,HIP043,H4,Healthy,3817,1835,5.763688760806916,1680,5
c000355,S558,C4,COVID-19,3577,1817,3.9977634889572267,1680,5
c000356,S558,C4,COVID-19,4231,1796,3.5688962420231625,1679,5
c000357,HIP043,H4,Healthy,4474,1838,8.091193562807332,1678,5
c000358,S557,C3,COVID-19,4129,1835,5.8367643497214825,1678,5
c000359,HIP043,H4,Healthy,4726,1838,5.522640710960643,1676,5
c000360,HIP043,H4,Healthy,3878,1845,4.5384218669417224,1672,5
c000361,S557,C3,COVID-19,4480,1820,6.361607142857143,1672,5
c000362,S556,C2,COVID-19,4494,1826,5.05117935024477,1671,5
c000363,S557,C3,COVID-19,4067,1830,5.827391197442832,1671,5
c000364,S556,C2,COVID-19,4312,1823,6.957328385899815,1670,5
c000365,S556,C2,COVID-19,4294,1829,6.054960409874243,1669,5
c000366,S558,C4,COVID-19,4658,1803,3.6925719192786604,1667,5
c000367,HIP043,H4,Healthy,4001,1810,5.148712821794551,1666,5
c000368,S557,C3,COVID-19,3962,1824,4.921756688541141,1666,5
c000369,S558,C4,COVID-19,4054,1796,4.070054267390232,1666,5
c000370,S557,C3,COVID-19,4179,1813,4.690117252931323,1663,5
c000371,S558,C4,COVID-19,4456,1787,6.552962298025134,1663,5
c000372,HIP043,H4,Healthy,4247,1824,5.180127148575465,1662,5
c000373,S558,C4,COVID-19,4368,1775,6.341575091575091,1662,5
c000374,S557,C3,COVID-19,3962,1812,5.729429581019687,1661,5
c000375,S558,C4,COVID-19,3416,1788,3.7763466042154565,1661,5
c000376,HIP043,H4,Healthy,3641,1798,5.82257621532546,1660,5
c000377,HIP043,H4,Healthy,4478,1799,10.183117463153193,1659,5
c000378,S557,C3,COVID-19,3809,1810,5.880808611184038,1658,5
c000379,S557,C3,COVID-19,4231,1824,4.467029071141574,1658,5
c000380,S556,C2,COVID-19,4035,1792,3.023543990086741,1657,5
c000381,S557,C3,COVID-19,4585,1835,7.001090512540895,1656,5
c000382,S557,C3,COVID-19,4381,1800,3.3553983108879253,1655,5
c000383,S557,C3,COVID-19,5989,1811,8.315244615127733,1655,5
c000384,HIP043,H4,Healthy,3909,1794,6.881555385008954,1654,5
c000385,S557,C3,COVID-19,3988,1784,5.466399197592779,1652,5
c000386,S558,C4,COVID-19,3834,1805,5.242566510172144,1652,5
c000387,S557,C3,COVID-19,4459,1815,7.512895267997309,1651,5
